evaluations raw_y
88 0.1441308684
123 0.1208545763
165 0.0783897159
212 0.0273426984
222 0.0176633904
339 0.0137898152
340 0.0095151129
345 0.0087752614
369 0.0085861069
384 0.0043015339
387 0.0018177895
428 0.0000987295
535 0.0000645860
573 0.0000365686
613 0.0000308184
625 0.0000048912
638 0.0000010096
703 0.0000008098
737 0.0000007539
829 0.0000005988
846 0.0000005041
868 0.0000003539
887 0.0000001675
932 0.0000001466
960 0.0000000407
994 0.0000000324
1045 0.0000000164
1081 0.0000000066
1160 0.0000000040
1163 0.0000000033
1207 0.0000000018
1228 0.0000000011
1257 0.0000000007
1285 0.0000000006
1298 0.0000000004
1370 0.0000000003
1452 0.0000000001
8000 0.0000000000
evaluations raw_y
1 5.9127915164
5 1.5242475696
75 1.3167830852
83 1.0706169070
90 0.9604103758
108 0.6034203781
200 0.3677444363
224 0.3611499396
234 0.0618581661
310 0.0160965844
365 0.0150643296
372 0.0038985492
379 0.0009700202
473 0.0002655301
572 0.0002311943
597 0.0002083541
602 0.0000582141
608 0.0000482897
612 0.0000243671
644 0.0000093112
649 0.0000076699
703 0.0000053434
725 0.0000046507
731 0.0000032720
765 0.0000029732
772 0.0000025102
798 0.0000010933
820 0.0000001235
938 0.0000000522
1015 0.0000000022
1062 0.0000000019
1066 0.0000000001
1316 0.0000000000
8000 0.0000000000
evaluations raw_y
1 13.1759597225
2 6.1356896674
5 6.0511120744
8 5.4991366800
10 3.1068744560
15 1.8430295753
22 1.5911829920
32 0.5573530529
44 0.5154612771
52 0.2224582436
73 0.1074841542
156 0.0496451332
190 0.0066823400
262 0.0066220534
283 0.0000000341
389 0.0000000217
395 0.0000000038
498 0.0000000002
519 0.0000000001
8000 0.0000000000
evaluations raw_y
1 11.7818985979
2 1.0154057376
13 0.1090413024
36 0.0000000055
41 0.0000000047
44 0.0000000031
119 0.0000000029
375 0.0000000028
690 0.0000000024
975 0.0000000017
8000 0.0000000054
evaluations raw_y
1 367.8943555522
2 110.3946736584
6 107.1189634227
11 100.8337798278
22 52.3324604571
40 10.3442464308
52 0.1068361661
199 0.0774527876
345 0.0056705141
356 0.0011730288
430 0.0009283309
442 0.0003437679
619 0.0003355679
641 0.0002342202
684 0.0001021492
710 0.0000195475
829 0.0000098556
934 0.0000027896
952 0.0000022183
971 0.0000015740
1041 0.0000011570
1074 0.0000007842
1110 0.0000003726
1163 0.0000002150
1191 0.0000000672
1240 0.0000000050
1470 0.0000000022
1529 0.0000000009
1598 0.0000000002
1750 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.6054988703
23 0.5238750707
36 0.3877985622
51 0.1823629881
75 0.1231201435
89 0.0687766434
93 0.0465604506
112 0.0252087275
144 0.0163278808
251 0.0068043491
445 0.0017315878
544 0.0003987442
699 0.0001505653
823 0.0001167158
847 0.0000283691
875 0.0000209984
929 0.0000069611
1008 0.0000055388
1017 0.0000038873
1075 0.0000037483
1081 0.0000017463
1106 0.0000013335
1144 0.0000003772
1266 0.0000000637
