evaluations raw_y
1 76.6690839456
2 35.4790072988
4 18.0319121846
11 13.9851586721
12 6.7197341300
55 5.8986774375
90 3.6169679894
118 1.4613789007
202 0.7119000915
441 0.3720477067
576 0.2170654685
781 0.2156020100
872 0.1890952195
875 0.1350439594
889 0.1069440880
913 0.0716918201
929 0.0570889325
997 0.0343847010
1042 0.0303892014
1047 0.0290659390
1073 0.0224381807
1193 0.0218214202
1218 0.0197647963
1219 0.0119458686
1229 0.0046568205
1235 0.0024888616
1291 0.0016795922
1432 0.0004435218
1633 0.0002482680
1667 0.0000913216
1791 0.0000513908
1938 0.0000475610
1947 0.0000237328
2140 0.0000162730
2257 0.0000128336
2272 0.0000007338
2500 0.0000003531
2619 0.0000001868
2631 0.0000001432
2693 0.0000000639
2819 0.0000000588
3083 0.0000000577
3111 0.0000000483
3126 0.0000000247
3158 0.0000000235
3215 0.0000000220
3248 0.0000000116
3356 0.0000000089
3359 0.0000000019
3519 0.0000000013
3538 0.0000000008
3767 0.0000000005
3771 0.0000000003
3803 0.0000000001
4000 0.0000000001
evaluations raw_y
1 4.9517222689
3 3.5801583887
9 1.8617491901
33 1.6928677670
46 1.5040058707
63 0.6157094385
130 0.2725207097
133 0.1995701237
182 0.0277653542
191 0.0174597099
206 0.0096368119
306 0.0072164719
392 0.0027473595
402 0.0022134115
449 0.0010650789
515 0.0008279782
564 0.0007991758
598 0.0000684343
607 0.0000461859
612 0.0000442135
622 0.0000042539
703 0.0000010332
886 0.0000008515
890 0.0000005777
909 0.0000005241
921 0.0000005100
939 0.0000004286
943 0.0000002498
954 0.0000002009
963 0.0000001354
989 0.0000001127
1005 0.0000001061
1015 0.0000000329
1125 0.0000000237
1130 0.0000000119
1257 0.0000000003
1551 0.0000000002
1643 0.0000000001
4000 0.0000000000
evaluations raw_y
1 0.1989259376
13 0.1496447493
21 0.0950800972
41 0.0594811097
45 0.0554614472
76 0.0500215164
85 0.0450527373
129 0.0427025419
135 0.0239157069
174 0.0141154034
183 0.0126885350
194 0.0090599042
219 0.0042330936
238 0.0034160034
272 0.0008241623
325 0.0008001902
388 0.0002724726
457 0.0001501696
536 0.0001087561
558 0.0000173644
690 0.0000139362
730 0.0000089490
731 0.0000077244
753 0.0000056163
803 0.0000026950
837 0.0000018659
929 0.0000018445
934 0.0000012053
985 0.0000001778
1098 0.0000001467
1107 0.0000001434
1117 0.0000000978
1184 0.0000000840
1190 0.0000000749
1196 0.0000000451
1262 0.0000000161
1302 0.0000000057
1363 0.0000000038
1473 0.0000000019
1548 0.0000000016
1566 0.0000000005
1605 0.0000000003
1656 0.0000000001
4000 0.0000000000
evaluations raw_y
1 5.7078115430
2 1.4653166488
3 1.3530787444
10 1.3458785624
22 0.7349465556
34 0.0150770531
66 0.0101383155
132 0.0000000003
393 0.0000000001
4000 0.0000000000
evaluations raw_y
1 68.5831215849
2 3.9986226425
6 1.7548380663
18 0.4373925638
46 0.3147294329
74 0.0379247724
218 0.0310537873
239 0.0308349299
241 0.0009470416
491 0.0004633617
541 0.0002124253
722 0.0001520711
745 0.0001263227
747 0.0000215295
865 0.0000143202
894 0.0000035504
902 0.0000026530
970 0.0000022866
1013 0.0000021304
1061 0.0000008136
1068 0.0000006759
1114 0.0000005100
1122 0.0000001152
1181 0.0000000250
1275 0.0000000058
1321 0.0000000051
1470 0.0000000048
1480 0.0000000039
1489 0.0000000026
1514 0.0000000019
1520 0.0000000016
1530 0.0000000009
1566 0.0000000001
2317 0.0000000000
4000 0.0000000000
evaluations raw_y
1 5.5127797413
2 1.5731446476
3 0.3360149642
19 0.1553154827
102 0.0390118011
156 0.0310369465
184 0.0032951051
260 0.0018611583
295 0.0017162395
333 0.0009300674
363 0.0005682781
365 0.0001829546
427 0.0000103108
564 0.0000083877
632 0.0000020523
680 0.0000017821
690 0.0000013196
703 0.0000003485
796 0.0000002089
832 0.0000001068
860 0.0000000687
904 0.0000000377
940 0.0000000256
964 0.0000000191
974 0.0000000135
1021 0.0000000047
1132 0.0000000014
1168 0.0000000012
1195 0.0000000007
1227 0.0000000001
1573 0.0000000000
4000 0.0000000000
evaluations raw_y
1 63.4293043938
2 0.8302204792
4 0.5954901509
6 0.2784029935
44 0.2268431607
52 0.2076422135
71 0.1863577449
83 0.0841322302
276 0.0745963050
306 0.0692509476
309 0.0638459147
316 0.0507002239
353 0.0190964588
437 0.0155018538
560 0.0139438363
565 0.0131935401
619 0.0095561242
643 0.0082904159
655 0.0064145144
681 0.0018435336
688 0.0010057535
751 0.0003327193
787 0.0000509846
896 0.0000404103
984 0.0000235300
1036 0.0000126754
1047 0.0000001017
1361 0.0000000364
