evaluations raw_y
1 102.3494482108
3 88.5161979032
4 49.7020587442
8 16.5513721887
86 14.9046326671
94 7.0272067131
191 6.8267878094
235 4.9998203411
261 3.7480074528
288 3.2388504929
301 3.2074016054
388 2.6553094142
445 2.4661661176
530 2.1439707249
678 1.7447029111
948 1.4910757654
1002 1.4325503846
1048 1.2929345297
1115 1.1619394225
1169 1.1238802809
1247 0.6961731994
1272 0.6450027095
1285 0.4692402778
1353 0.3688508764
1436 0.3572843927
1470 0.3440516745
1620 0.3269441254
1694 0.1365607473
1840 0.1147005166
1949 0.0849842485
2060 0.0760908851
2081 0.0725175769
2104 0.0280913084
2209 0.0272450011
2230 0.0215888124
2231 0.0181673243
2250 0.0124955108
2354 0.0080890110
2422 0.0076763979
2479 0.0043800053
2515 0.0026842248
2524 0.0021586285
2653 0.0018667574
2745 0.0015941899
2782 0.0011611988
2852 0.0009222537
2941 0.0007471994
3000 0.0005238275
3046 0.0005116769
3057 0.0004561946
3078 0.0002013302
3237 0.0001644258
3250 0.0001556977
3292 0.0001463300
3311 0.0001392810
3324 0.0001052555
3343 0.0001037174
3353 0.0000935396
3368 0.0000692558
3428 0.0000518941
3431 0.0000432490
3622 0.0000402817
3637 0.0000355259
3644 0.0000214231
3698 0.0000207369
3719 0.0000178097
3731 0.0000171852
3759 0.0000103035
3922 0.0000066258
4005 0.0000053274
4038 0.0000035352
4179 0.0000024728
4269 0.0000010749
4337 0.0000006561
4550 0.0000003840
4582 0.0000002401
4699 0.0000000929
4981 0.0000000581
5003 0.0000000476
5074 0.0000000353
5152 0.0000000160
5521 0.0000000151
5524 0.0000000141
5542 0.0000000101
5566 0.0000000058
5869 0.0000000056
5874 0.0000000055
5901 0.0000000044
5950 0.0000000030
6048 0.0000000015
6313 0.0000000013
6511 0.0000000012
6583 0.0000000006
6741 0.0000000003
7130 0.0000000002
7488 0.0000000001
10000 0.0000000000
evaluations raw_y
1 98.3671996713
2 7.5931963343
58 6.0402940431
112 4.2024141505
134 3.3465866916
172 1.8607072436
267 1.2559611192
360 1.1659474727
394 0.2909622215
503 0.2194406821
569 0.2038415437
654 0.1737596569
659 0.1259083104
736 0.1090428000
740 0.0901545756
773 0.0829535970
967 0.0807477848
1018 0.0747439774
1035 0.0735681598
1037 0.0676237054
1043 0.0639510572
1045 0.0629769243
1046 0.0589185939
1053 0.0499134958
1097 0.0482991927
1174 0.0411909025
1175 0.0386547237
1288 0.0377271329
1418 0.0336445611
1505 0.0322849730
1683 0.0292671661
1746 0.0280164641
1818 0.0260577754
1825 0.0236087060
1936 0.0234384579
1955 0.0227080050
1998 0.0223488337
2008 0.0214065917
2129 0.0212282113
2135 0.0212196961
2141 0.0212083022
2170 0.0208935090
2270 0.0208395509
2315 0.0207700675
2320 0.0207424356
2352 0.0207148144
2395 0.0206889432
2460 0.0206841076
2485 0.0206817618
2504 0.0206803379
2529 0.0206793170
2601 0.0206785040
2613 0.0206753436
2717 0.0206744208
2767 0.0206738851
2774 0.0206730053
2784 0.0206726297
2793 0.0206720471
2832 0.0206712036
3008 0.0206712021
3024 0.0206707786
3096 0.0206707293
3110 0.0206706333
3266 0.0206706068
3314 0.0206705631
3369 0.0206705582
3389 0.0206705535
3433 0.0206705525
3540 0.0206705484
3648 0.0206705478
3661 0.0206705476
3779 0.0206705475
3818 0.0206705473
4271 0.0206705472
10000 0.0206705472
evaluations raw_y
1 3.2443585452
2 1.2950361827
5 0.7570923593
27 0.4159149299
58 0.3901735693
79 0.3151649933
81 0.3059816847
103 0.2493143192
128 0.2315545228
142 0.2252307912
168 0.1208056707
225 0.0981971346
230 0.0924596380
235 0.0671256625
339 0.0460178174
355 0.0408013779
368 0.0318575177
394 0.0240238584
400 0.0219999957
